timestamp,camera_id,street_monitored,total_vehicles,occupancy_rate,flow_rate_per_min,avg_speed,avg_density,congestion_level,zone_id,duration_seconds
1764452817.59297,CAM_003,Synthetic St,11,0.6313140921748801,8.8,6.454182717585004,12.626281843497603,Heavy,ZONE_103,60
1764452937.59297,CAM_004,Synthetic St,8,0.14320162701450084,6.4,62.35210044179044,2.8640325402900166,Normal,ZONE_104,60
1764453057.59297,CAM_002,Synthetic St,22,0.3766058826439625,17.6,48.496275477818784,7.53211765287925,High,ZONE_102,60
1764453177.59297,CAM_002,Synthetic St,27,0.16116887932497986,21.6,40.99509124746472,3.2233775864995975,Normal,ZONE_102,60
1764453297.59297,CAM_002,Synthetic St,9,0.6110548217925476,7.2,15.72404544123173,12.221096435850951,Heavy,ZONE_102,60
1764453417.59297,CAM_004,Synthetic St,12,0.04369106745209328,9.600000000000001,39.78218629177272,0.8738213490418656,Normal,ZONE_104,60
1764453537.59297,CAM_001,Synthetic St,54,1.0,43.2,15.12635817864968,20.01295336419439,Heavy,ZONE_101,60
1764453657.59297,CAM_001,Synthetic St,119,0.41852765909499184,95.2,11.307142721142815,8.370553181899837,Heavy,ZONE_101,60
1764453777.59297,CAM_001,Synthetic St,15,1.0,12.0,13.366862106545566,33.25419934507071,Heavy,ZONE_101,60
1764453897.59297,CAM_004,Synthetic St,23,0.31467130303898866,18.400000000000002,18.81352929679695,6.293426060779773,High,ZONE_104,60
1764454017.59297,CAM_001,Synthetic St,93,1.0,74.4,9.871355593034739,22.202061987010254,Heavy,ZONE_101,60
1764454137.59297,CAM_001,Synthetic St,128,1.0,102.4,10.044080987033496,39.44675011870261,Heavy,ZONE_101,60
1764454257.59297,CAM_004,Synthetic St,26,0.08743685317215655,20.8,19.544294542962856,1.748737063443131,High,ZONE_104,60
1764454377.59297,CAM_001,Synthetic St,75,1.0,60.0,17.836162858566965,32.18491632031042,Heavy,ZONE_101,60
1764454497.59297,CAM_004,Synthetic St,22,0.29010907965354654,17.6,22.431443099188428,5.802181593070931,High,ZONE_104,60
1764454617.59297,CAM_003,Synthetic St,83,1.0,66.4,16.856289697365305,23.528632131093374,Heavy,ZONE_103,60
1764454737.59297,CAM_001,Synthetic St,75,1.0,60.0,9.330597229793016,41.36078315220301,Heavy,ZONE_101,60
1764454857.59297,CAM_003,Synthetic St,34,0.8065449063890888,27.200000000000003,14.117372881373859,16.130898127781776,Heavy,ZONE_103,60
1764454977.59297,CAM_001,Synthetic St,122,0.33505479833618085,97.60000000000001,12.294676162514087,6.701095966723617,High,ZONE_101,60
1764455097.59297,CAM_003,Synthetic St,93,0.4855820614354368,74.4,16.69580494638883,9.711641228708736,Heavy,ZONE_103,60
1764455217.59297,CAM_002,Synthetic St,76,0.637469581506086,60.800000000000004,11.509644673308681,12.749391630121721,Heavy,ZONE_102,60
1764455337.59297,CAM_002,Synthetic St,32,0.4944787769535831,25.6,15.916550705759219,9.889575539071663,Heavy,ZONE_102,60
1764455457.59297,CAM_001,Synthetic St,136,1.0,108.80000000000001,7.128242724439994,33.50699885964566,Heavy,ZONE_101,60
1764455577.59297,CAM_001,Synthetic St,18,0.9722556209398572,14.4,6.654237318807092,19.445112418797144,Heavy,ZONE_101,60
1764455697.59297,CAM_002,Synthetic St,84,0.11921428481747316,67.2,23.653823831035123,2.384285696349463,High,ZONE_102,60
1764455817.59297,CAM_003,Synthetic St,97,0.3163619577070391,77.60000000000001,13.795414569365821,6.327239154140782,High,ZONE_103,60
1764455937.59297,CAM_003,Synthetic St,27,0.5946965467062131,21.6,7.806786423282068,11.893930934124262,Heavy,ZONE_103,60
1764456057.59297,CAM_002,Synthetic St,35,0.9774603682831623,28.0,16.181149468280402,19.549207365663246,Heavy,ZONE_102,60
1764456177.59297,CAM_003,Synthetic St,58,0.31760132583304873,46.400000000000006,9.244855825050566,6.352026516660975,Heavy,ZONE_103,60
1764456297.59297,CAM_002,Synthetic St,75,0.866147999945434,60.0,8.780959071297756,17.32295999890868,Heavy,ZONE_102,60
